"","Call.Number","Date.Time","Location","Police.District","Nature.of.Call","Status","Last Updated"
"8094",230800052,"03/21/2023 12:49:11 AM","5630 N 73RD ST,MKE","4","ENTRY","Advised/Referral",NA
"8095",230800085,"03/21/2023 01:18:21 AM","245 W LINCOLN AV,MKE","2","RETURN STATION","Assignment Completed",NA
"8096",230800083,"03/21/2023 01:17:21 AM","1555 S 3RD ST,MKE","2","ENTRY","Advised/Referral",NA
"8097",230800082,"03/21/2023 01:14:47 AM","2400 S AUSTIN ST,MKE","6","PATROL","Assignment Completed",NA
"8098",230800073,"03/21/2023 01:14:07 AM","2220 W BROWN ST,MKE","3","NOISE NUISANCE","Advised",NA
"8099",230800056,"03/21/2023 01:13:13 AM","2436 N 50TH ST,MKE","3","WELFARE CITIZEN","Service in Progress",NA
"8100",230800081,"03/21/2023 01:12:54 AM","245 W LINCOLN AV,MKE","2","MED RUN","Service in Progress",NA
"8101",230800068,"03/21/2023 01:12:42 AM","10901 W DONNA DR,MKE","4","NOISE NUISANCE","Service in Progress",NA
"8102",230800076,"03/21/2023 01:11:28 AM","5830 N 84TH ST,MKE","4","THREAT","Service in Progress",NA
"8103",230800079,"03/21/2023 01:11:24 AM","3206 N NORWOOD PL,MKE","7","SHOTS FIRED","Unable to Locate Complainant",NA
"8104",230800078,"03/21/2023 01:10:45 AM","4076 N ELMHURST RD,MKE","7","SUBJ WITH GUN","Advised/Referral",NA
"8105",230800075,"03/21/2023 01:05:36 AM","7700 W BROWN DEER RD,MKE","4","BUSINESS CHECK","Assignment Completed",NA
"8106",230800071,"03/21/2023 01:02:37 AM","5105 S HOWELL AV,MKE","6","PATROL","Assignment Completed",NA
"8107",230791759,"03/21/2023 12:48:48 AM","4637 N 45TH ST,MKE","7","ASSIGNMENT","Unable to Locate Complainant",NA
"8108",230800015,"03/21/2023 12:48:21 AM","1502 W BURLEIGH ST,MKE","5","SUBJ WITH WEAPON","Advised",NA
"8109",230800099,"03/21/2023 01:39:15 AM","4073 N MONTREAL ST,MKE","7","SHOTSPOTTER","To be Filed",NA
"8110",230800097,"03/21/2023 01:38:27 AM","9001 N 75TH ST,MKE","4","ENTRY","Service in Progress",NA
"8111",230800089,"03/21/2023 01:37:47 AM","2405 S 9TH ST,MKE","2","TRBL W/SUBJ","Unable to Locate Complainant",NA
"8112",230800098,"03/21/2023 01:37:36 AM","N VEL R PHILLIPS AV / W ST PAUL AV,MKE","1","PATROL","Service in Progress",NA
"8113",230800096,"03/21/2023 01:35:05 AM","2510 S CHASE AV,MKE","2","TRAFFIC STOP","Advised",NA
"8114",230800095,"03/21/2023 01:29:52 AM","3233 S 27TH ST,MKE","6","BUSINESS CHECK","Assignment Completed",NA
"8115",230800093,"03/21/2023 01:28:36 AM","1400 E BRADY ST","1","PATROL","Assignment Completed",NA
"8116",230800092,"03/21/2023 01:27:07 AM","3100 N SHERMAN BL,MKE","7","PATROL","Assignment Completed",NA
"8117",230800090,"03/21/2023 01:25:49 AM","3765 N 54TH BL,MKE","7","TRBL W/SUBJ","Advised",NA
"8118",230800088,"03/21/2023 01:21:30 AM","3100 S 51ST ST,MKE","6","PATROL","Assignment Completed",NA
"8119",230800087,"03/21/2023 01:21:29 AM","4821 N 22ND ST,MKE","7","SHOTSPOTTER","Unable to Locate Complainant",NA
"8120",230800086,"03/21/2023 01:21:27 AM","3210 N MARTIN L KING JR DR,MKE","5","BATTERY","Advised",NA
"8121",230800084,"03/21/2023 01:20:58 AM","2130 S 24TH ST,MKE","2","SHOOTING","Service in Progress",NA
"8122",230800056,"03/21/2023 01:13:13 AM","2436 N 50TH ST,MKE","3","WELFARE CITIZEN","Advised",NA
"8123",230800076,"03/21/2023 01:11:28 AM","5830 N 84TH ST,MKE","4","THREAT","Advised",NA
"8124",230800101,"03/21/2023 01:42:52 AM","6010 S 27TH ST,MKE","6","THREAT","Open Investigation",NA
"8125",230800091,"03/21/2023 01:41:53 AM","1311 E BRADY ST,MKE","1","TRBL W/SUBJ","Advised",NA
"8126",230800094,"03/21/2023 01:40:21 AM","6010 S 27TH ST,MKE","6","NOISE NUISANCE","Advised",NA
"8127",230800098,"03/21/2023 01:37:36 AM","N VEL R PHILLIPS AV / W ST PAUL AV,MKE","1","PATROL","Assignment Completed",NA
"8128",230800107,"03/21/2023 01:54:08 AM","3121 N OAKLAND AV","1","BUSINESS CHECK","Assignment Completed",NA
"8129",230800102,"03/21/2023 01:53:14 AM","1200 W COLLEGE AV,MKE","6","TRBL W/SUBJ","Service in Progress",NA
"8130",230800105,"03/21/2023 01:51:06 AM","1400 E BRADY ST","1","BUSINESS CHECK","Assignment Completed",NA
"8131",230800066,"03/21/2023 01:51:04 AM","2801 N 40TH ST,MKE","7","NOISE NUISANCE","Service in Progress",NA
"8132",230800100,"03/21/2023 01:47:25 AM","5931 N LOVERS LANE RD,MKE","4","STOLEN VEHICLE","Service in Progress",NA
"8133",230800103,"03/21/2023 01:46:29 AM","N 27TH ST / W HIGHLAND AV,MKE","3","CALL FOR POLICE","Advised",NA
"8134",230800097,"03/21/2023 01:38:27 AM","9001 N 75TH ST,MKE","4","ENTRY","Advised/Referral",NA
"8135",230800123,"03/21/2023 02:08:42 AM","1629 S 25TH ST,MKE","2","BATTERY","Service in Progress",NA
"8136",230800119,"03/21/2023 02:06:55 AM","2159 S 5TH ST,MKE","2","SUBJ WITH WEAPON","Service in Progress",NA
"8137",230800121,"03/21/2023 02:06:29 AM","8400 W LISBON AV,MKE","7","PATROL","Service in Progress",NA
"8138",230800120,"03/21/2023 02:06:28 AM","951 N JAMES LOVELL ST,MKE","1","SPECIAL ASSIGN","Service in Progress",NA
"8139",230800117,"03/21/2023 02:02:02 AM","3626 W FOND DU LAC AV,MKE","7","RETURN STATION","Assignment Completed",NA
"8140",230800116,"03/21/2023 02:00:44 AM","2730 N 46TH ST,MKE","7","SHOTSPOTTER","Unable to Locate Complainant",NA
"8141",230800114,"03/21/2023 02:00:18 AM","2712 S 68TH ST,MKE","6","BATTERY","No Prosecution",NA
"8142",230800115,"03/21/2023 01:59:57 AM","N 35TH ST / W TOWNSEND ST,MKE","7","NON PURSUIT NO P","Assignment Completed",NA
"8143",230800112,"03/21/2023 01:57:38 AM","N 27TH ST / W NORTH AV,MKE","3","TRBL W/SUBJ","Service in Progress",NA
"8144",230800113,"03/21/2023 01:57:21 AM","749 W STATE ST,MKE","1","SPECIAL ASSIGN","To be Filed",NA
"8145",230800110,"03/21/2023 01:57:16 AM","S 24TH ST / W BECHER ST,MKE","2","SHOTS FIRED","Unable to Locate Complainant",NA
"8146",230800111,"03/21/2023 01:56:22 AM","3626 W FOND DU LAC AV,MKE","7","REPORTS","Service in Progress",NA
"8147",230800109,"03/21/2023 01:55:30 AM","4000 W LOCUST ST,MKE","7","PATROL","Assignment Completed",NA
"8148",230800106,"03/21/2023 01:55:01 AM","749 W STATE ST,MKE","1","MED RUN","Service in Progress",NA
"8149",230800066,"03/21/2023 01:51:04 AM","2801 N 40TH ST,MKE","7","NOISE NUISANCE","Unable to Locate Complainant",NA
"8150",230800100,"03/21/2023 01:47:25 AM","5931 N LOVERS LANE RD,MKE","4","STOLEN VEHICLE","Assignment Completed",NA
"8151",230800125,"03/21/2023 02:18:37 AM","6929 W SILVER SPRING DR,MKE","4","PRISONER TRANS","Service in Progress",NA
"8152",230800133,"03/21/2023 02:17:52 AM","714 E BRADY ST,MKE","1","INJ PERSON/SICK","Service in Progress",NA
"8153",230800132,"03/21/2023 02:15:48 AM","N 5TH ST / W WISCONSIN AV,MKE","1","PATROL","Assignment Completed",NA
"8154",230800130,"03/21/2023 02:14:34 AM","2780 W HIGHLAND BL,MKE","3","CALL FOR POLICE","Unable to Locate Complainant",NA
"8155",230800129,"03/21/2023 02:13:38 AM","N 28TH ST / W NORTH AV,MKE","3","TRAFFIC STOP","Assignment Completed",NA
"8156",230800128,"03/21/2023 02:12:44 AM","3626 W FOND DU LAC AV,MKE","7","RETURN STATION","Assignment Completed",NA
"8157",230800127,"03/21/2023 02:12:15 AM","3626 W FOND DU LAC AV,MKE","7","RETURN STATION","Assignment Completed",NA
"8158",230800121,"03/21/2023 02:06:29 AM","8400 W LISBON AV,MKE","7","PATROL","Assignment Completed",NA
"8159",230800111,"03/21/2023 01:56:22 AM","3626 W FOND DU LAC AV,MKE","7","REPORTS","To be Filed",NA
"8160",230800100,"03/21/2023 01:47:25 AM","5931 N LOVERS LANE RD,MKE","4","STOLEN VEHICLE","To be Filed",NA
"8161",230800138,"03/21/2023 02:29:53 AM","3626 W FOND DU LAC AV,MKE","7","ASSIGN-ADMN MPD","Assignment Completed",NA
"8162",230800136,"03/21/2023 02:26:59 AM","S 7TH ST / W ABBOTT AV,MKE","6","SUSP PERS/AUTO","Service in Progress",NA
"8163",230800135,"03/21/2023 02:24:27 AM","749 W STATE ST,MKE","1","PRISONER TRANS","Service in Progress",NA
"8164",230800134,"03/21/2023 02:21:27 AM","9051 N 85TH ST,MKE","4","CALL FOR POLICE","Advised",NA
"8165",230800123,"03/21/2023 02:08:42 AM","1629 S 25TH ST,MKE","2","BATTERY","Advised",NA
"8166",230800139,"03/21/2023 02:31:52 AM","3100 N SHERMAN BL,MKE","7","PATROL","Assignment Completed",NA
"8167",230800136,"03/21/2023 02:26:59 AM","S 7TH ST / W ABBOTT AV,MKE","6","SUSP PERS/AUTO","Assignment Completed",NA
"8168",230800133,"03/21/2023 02:17:52 AM","714 E BRADY ST,MKE","1","INJ PERSON/SICK","Advised",NA
"8169",230800152,"03/21/2023 02:49:20 AM","N 27TH ST / W VLIET ST,MKE","3","INVESTIGATION","Service in Progress",NA
"8170",230800150,"03/21/2023 02:44:31 AM","N 45TH ST / W VILLARD AV,MKE","7","TRAFFIC STOP","Service in Progress",NA
"8171",230800149,"03/21/2023 02:44:16 AM","2424 W LEROY AV,MKE","6","THEFT VEHICLE","Service in Progress",NA
"8172",230800146,"03/21/2023 02:41:03 AM","2607 N DOWNER AVE","1","BUSINESS CHECK","Assignment Completed",NA
"8173",230800144,"03/21/2023 02:40:04 AM","6500 N 107TH ST,MKE","4","ENTRY","Service in Progress",NA
"8174",230800143,"03/21/2023 02:37:10 AM","2800 S 47TH ST,MKE","6","PATROL","Service in Progress",NA
"8175",230800142,"03/21/2023 02:36:20 AM","2333 N 49TH ST,MKE","3","REPORTS","Service in Progress",NA
"8176",230800155,"03/21/2023 02:53:47 AM","4200 N TEUTONIA AV,MKE","5","PARK AND WALK","Service in Progress",NA
"8177",230800154,"03/21/2023 02:53:24 AM","N 26TH ST / W WELLS ST,MKE","3","ABAND/STOLEN PRO","Service in Progress",NA
"8178",230800153,"03/21/2023 02:50:41 AM","749 W STATE ST,MKE","1","ASSIGN-ADMN MPD","Assignment Completed",NA
"8179",230800150,"03/21/2023 02:44:31 AM","N 45TH ST / W VILLARD AV,MKE","7","TRAFFIC STOP","Advised",NA
"8180",230800163,"03/21/2023 03:05:09 AM","3626 W FOND DU LAC AV,MKE","7","RETURN STATION","Assignment Completed",NA
"8181",230800160,"03/21/2023 03:02:34 AM","4060 N 60TH ST,MKE","7","BUSINESS CHECK","Assignment Completed",NA
"8182",230800159,"03/21/2023 03:02:15 AM","5528 S 14TH ST,MKE","6","SUSP PERS/AUTO","Advised",NA
"8183",230800158,"03/21/2023 02:58:27 AM","5900 W HAMPTON AV,MKE","7","TRAFFIC STOP","Advised",NA
"8184",230800137,"03/21/2023 02:57:46 AM","1427 S 9TH ST,MKE","2","CALL FOR POLICE","Unable to Locate Complainant",NA
"8185",230800157,"03/21/2023 02:56:12 AM","5100 W HAMPTON AV,MKE","7","PATROL","Assignment Completed",NA
"8186",230800156,"03/21/2023 02:55:15 AM","3121 N 39TH ST,MKE","7","THREAT","Service in Progress",NA
"8187",230800155,"03/21/2023 02:53:47 AM","4200 N TEUTONIA AV,MKE","5","PARK AND WALK","Assignment Completed",NA
"8188",230800154,"03/21/2023 02:53:24 AM","N 26TH ST / W WELLS ST,MKE","3","ABAND/STOLEN PRO","Assignment Completed",NA
"8189",230800152,"03/21/2023 02:49:20 AM","N 27TH ST / W VLIET ST,MKE","3","INVESTIGATION","Assignment Completed",NA
"8190",230800144,"03/21/2023 02:40:04 AM","6500 N 107TH ST,MKE","4","ENTRY","Assignment Completed",NA
"8191",230800168,"03/21/2023 03:17:51 AM","3381 N 35TH ST,MKE","7","FIGHT","Advised",NA
"8192",230800154,"03/21/2023 02:53:24 AM","N 26TH ST / W WELLS ST,MKE","3","ABAND/STOLEN PRO","To be Filed",NA
"8193",230800149,"03/21/2023 02:44:16 AM","2424 W LEROY AV,MKE","6","THEFT VEHICLE","To be Filed",NA
"8194",230800143,"03/21/2023 02:37:10 AM","2800 S 47TH ST,MKE","6","PATROL","Assignment Completed",NA
"8195",230800170,"03/21/2023 03:29:21 AM","7039 N TEUTONIA AV,MKE","4","RECKLESS VEHICLE","Assignment Completed",NA
"8196",230800173,"03/21/2023 03:27:38 AM","2308 W BURNHAM ST,MKE","2","RECK USE OF WEAP","Unable to Locate Complainant",NA
"8197",230800148,"03/21/2023 03:27:17 AM","S 14TH ST / W GREENFIELD AV,MKE","2","TRBL W/SUBJ","Unable to Locate Complainant",NA
"8198",230800171,"03/21/2023 03:22:15 AM","3324 N 36TH ST,MKE","7","ACC PI","Service in Progress",NA
"8199",230800167,"03/21/2023 03:21:59 AM","3714 N 25TH ST,MKE","5","TRBL W/SUBJ","Service in Progress",NA
"8200",230800169,"03/21/2023 03:21:01 AM","3301 N OAKLAND AV,MKE","1","BUSINESS CHECK","Assignment Completed",NA
"8201",230800156,"03/21/2023 02:55:15 AM","3121 N 39TH ST,MKE","7","THREAT","Advised/Referral",NA
"8202",230800179,"03/21/2023 03:37:20 AM","749 W STATE ST,MKE","1","ASSIGNMENT","Assignment Completed",NA
"8203",230800178,"03/21/2023 03:36:56 AM","4361 N 29TH ST,MKE","5","CALL FOR POLICE","Service in Progress",NA
"8204",230800176,"03/21/2023 03:34:48 AM","4500 N 29TH ST,MKE","5","PARK AND WALK","Assignment Completed",NA
"8205",230800184,"03/21/2023 03:47:43 AM","1721 W CANAL ST,MKE","3","INJ PERSON/SICK","Service in Progress",NA
"8206",230800185,"03/21/2023 03:46:57 AM","3006 S 27TH ST,MKE","6","RETURN STATION","Assignment Completed",NA
"8207",230800124,"03/21/2023 03:45:43 AM","S 15TH ST / W SCOTT ST,MKE","2","ACC PDO","Service in Progress",NA
"8208",230800182,"03/21/2023 03:45:28 AM","545 W LAYTON AV,MKE","6","PATROL","Assignment Completed",NA
"8209",230800177,"03/21/2023 03:44:06 AM","2340 S 31ST ST,MKE","2","THREAT","Advised",NA
"8210",230800181,"03/21/2023 03:41:08 AM","2800 S SHORE DR,MKE","6","PATROL","Assignment Completed",NA
"8211",230800180,"03/21/2023 03:40:30 AM","3626 W FOND DU LAC AV,MKE","7","RETURN STATION","Assignment Completed",NA
"8212",230800178,"03/21/2023 03:36:56 AM","4361 N 29TH ST,MKE","5","CALL FOR POLICE","Unable to Locate Complainant",NA
"8213",230800167,"03/21/2023 03:21:59 AM","3714 N 25TH ST,MKE","5","TRBL W/SUBJ","Assignment Completed",NA
"8214",230800189,"03/21/2023 03:56:12 AM","900 W GRANGE AV,MKE","6","PATROL","Assignment Completed",NA
"8215",230800188,"03/21/2023 03:53:29 AM","2333 N 49TH ST,MKE","3","RETURN STATION","Assignment Completed",NA
"8216",230800187,"03/21/2023 03:51:50 AM","400 E CHAMBERS ST,MKE","5","PARK AND WALK","Assignment Completed",NA
"8217",230800184,"03/21/2023 03:47:43 AM","1721 W CANAL ST,MKE","3","INJ PERSON/SICK","Assignment Completed",NA
"8218",230800197,"03/21/2023 04:09:48 AM","5100 W HAMPTON AV,MKE","7","PATROL","Assignment Completed",NA
"8219",230800193,"03/21/2023 04:01:34 AM","3626 W FOND DU LAC AV,MKE","7","RETURN STATION","Assignment Completed",NA
"8220",230800192,"03/21/2023 04:00:46 AM","4400 W VLIET ST,MKE","3","PATROL","Assignment Completed",NA
"8221",230800191,"03/21/2023 04:00:39 AM","S 14TH ST / W ROGERS ST,MKE","2","PATROL","Assignment Completed",NA
"8222",230800170,"03/21/2023 03:29:21 AM","7039 N TEUTONIA AV,MKE","4","RECKLESS VEHICLE","Advised",NA
"8223",230800196,"03/21/2023 04:17:38 AM","7127 W OKLAHOMA AV,MKE","6","FIGHT","Service in Progress",NA
"8224",230800202,"03/21/2023 04:17:11 AM","2226 W NATIONAL AV,MKE","2","CALL FOR POLICE","Service in Progress",NA
"8225",230800200,"03/21/2023 04:13:53 AM","3800 S 27TH ST,MKE","6","PATROL","Assignment Completed",NA
"8226",230800194,"03/21/2023 04:13:42 AM","806 S 31ST ST,MKE","2","TRBL W/SUBJ","Service in Progress",NA
"8227",230800199,"03/21/2023 04:13:41 AM","4685 N 51ST BL,MKE","7","TRAFFIC STOP","Advised",NA
"8228",230800198,"03/21/2023 04:13:15 AM","2446 N 39TH ST,MKE","3","SHOTSPOTTER","Unable to Locate Complainant",NA
"8229",230800190,"03/21/2023 04:10:22 AM","7373 N TEUTONIA AV,MKE","4","PROPERTY DAMAGE","Service in Progress",NA
"8230",230800124,"03/21/2023 03:45:43 AM","S 15TH ST / W SCOTT ST,MKE","2","ACC PDO","To be Filed",NA
"8231",230800201,"03/21/2023 04:30:00 AM","N 18TH ST / W NORTH AV,MKE","3","SOLICITING","Unable to Locate Complainant",NA
"8232",230800204,"03/21/2023 04:27:57 AM","N HOLTON ST / E NORTH AV,MKE","5","LOOSE ANIMAL","Assignment Completed",NA
"8233",230800203,"03/21/2023 04:24:10 AM","2920 N VEL R PHILLIPS AV,MKE","5","CONVEY PROPERTY","Assignment Completed",NA
"8234",230800140,"03/21/2023 04:23:52 AM","10155 W APPLETON AV,MKE","4","BATTERY DV","Service in Progress",NA
"8235",230800206,"03/21/2023 04:35:26 AM","749 W STATE ST,MKE","1","PRISONER TRANS","Service in Progress",NA
"8236",230800196,"03/21/2023 04:17:38 AM","7127 W OKLAHOMA AV,MKE","6","FIGHT","Advised",NA
"8237",230800202,"03/21/2023 04:17:11 AM","2226 W NATIONAL AV,MKE","2","CALL FOR POLICE","Unable to Locate Complainant",NA
"8238",230800194,"03/21/2023 04:13:42 AM","806 S 31ST ST,MKE","2","TRBL W/SUBJ","Advised",NA
"8239",230800209,"03/21/2023 04:44:35 AM","2333 N 49TH ST,MKE","3","CONVEY PROPERTY","Service in Progress",NA
"8240",230800208,"03/21/2023 04:40:38 AM","4400 W HAMPTON AV,MKE","7","TRAFFIC STOP","Advised",NA
"8241",230800207,"03/21/2023 04:40:33 AM","7200 W OKLAHOMA AV,WA","OUT","PATROL","Assignment Completed",NA
"8242",230800219,"03/21/2023 04:58:12 AM","3100 S 9TH PL,MKE","6","PATROL","Service in Progress",NA
"8243",230800216,"03/21/2023 04:55:48 AM","949 N 9TH ST,MKE","1","CONVEY PROPERTY","Service in Progress",NA
"8244",230800215,"03/21/2023 04:54:57 AM","6929 W SILVER SPRING DR,MKE","4","SPECIAL ASSIGN","Assignment Completed",NA
"8245",230800214,"03/21/2023 04:53:44 AM","902 W NATIONAL AV,MKE","2","BUSINESS CHECK","Assignment Completed",NA
"8246",230800213,"03/21/2023 04:51:28 AM","3626 W FOND DU LAC AV,MKE","7","ASSIGNMENT","Service in Progress",NA
"8247",230800211,"03/21/2023 04:45:57 AM","245 W LINCOLN AV,MKE","2","RETURN STATION","Assignment Completed",NA
"8248",230800210,"03/21/2023 04:45:12 AM","923 E LAYTON AV,MKE","6","BUSINESS CHECK","Assignment Completed",NA
"8249",230800204,"03/21/2023 04:27:57 AM","N HOLTON ST / E NORTH AV,MKE","5","LOOSE ANIMAL","Unable to Locate Complainant",NA
"8250",230800140,"03/21/2023 04:23:52 AM","10155 W APPLETON AV,MKE","4","BATTERY DV","Assignment Completed",NA
"8251",230800226,"03/21/2023 05:09:58 AM","245 W LINCOLN AV,MKE","2","RETURN STATION","Service in Progress",NA
"8252",230800225,"03/21/2023 05:09:31 AM","2500 N MARYLAND AV","1","PATROL","Assignment Completed",NA
"8253",230800224,"03/21/2023 05:05:38 AM","6680 N TEUTONIA AV,MKE","4","ASSIGNMENT","Service in Progress",NA
"8254",230800223,"03/21/2023 05:03:22 AM","5100 W HAMPTON AV,MKE","7","PATROL","Assignment Completed",NA
"8255",230800222,"03/21/2023 05:03:09 AM","3006 S 27TH ST,MKE","6","ASSIGNMENT","Service in Progress",NA
"8256",230800221,"03/21/2023 05:01:46 AM","245 W LINCOLN AV,MKE","2","RETURN STATION","Assignment Completed",NA
"8257",230800218,"03/21/2023 05:01:21 AM","3775 N 5TH ST,MKE","5","CALL FOR POLICE","Service in Progress",NA
"8258",230800220,"03/21/2023 05:00:54 AM","3131 N PIERCE ST,MKE","5","THREAT","Service in Progress",NA
"8259",230800219,"03/21/2023 04:58:12 AM","3100 S 9TH PL,MKE","6","PATROL","Assignment Completed",NA
"8260",230800229,"03/21/2023 05:17:29 AM","433 W ST PAUL AVE","1","BUSINESS CHECK","Service in Progress",NA
"8261",230800228,"03/21/2023 05:16:32 AM","1502 W BURLEIGH ST,MKE","5","SUBJ WITH WEAPON","Unable to Locate Complainant",NA
"8262",230800227,"03/21/2023 05:13:09 AM","1700 N HUBBARD ST,MKE","5","PARK AND WALK","Service in Progress",NA
"8263",230800226,"03/21/2023 05:09:58 AM","245 W LINCOLN AV,MKE","2","RETURN STATION","Assignment Completed",NA
"8264",230800222,"03/21/2023 05:03:09 AM","3006 S 27TH ST,MKE","6","ASSIGNMENT","Assignment Completed",NA
"8265",230800218,"03/21/2023 05:01:21 AM","3775 N 5TH ST,MKE","5","CALL FOR POLICE","Unable to Locate Complainant",NA
"8266",230800216,"03/21/2023 04:55:48 AM","949 N 9TH ST,MKE","1","CONVEY PROPERTY","Assignment Completed",NA
"8267",230800234,"03/21/2023 05:29:48 AM","6410 W SILVER SPRING DR,MKE","4","SHOPLIFTER","Assignment Completed",NA
"8268",230800232,"03/21/2023 05:25:56 AM","3006 S 27TH ST,MKE","6","FOLLOW UP","Service in Progress",NA
"8269",230800231,"03/21/2023 05:23:49 AM","HUMBOLDT/BRADY","1","PATROL","Service in Progress",NA
"8270",230800229,"03/21/2023 05:17:29 AM","433 W ST PAUL AVE","1","BUSINESS CHECK","Assignment Completed",NA
"8271",230800220,"03/21/2023 05:00:54 AM","3131 N PIERCE ST,MKE","5","THREAT","Advised",NA
"8272",230800241,"03/21/2023 05:39:41 AM","6680 N TEUTONIA AV,MKE","4","SPECIAL ASSIGN","Service in Progress",NA
"8273",230800236,"03/21/2023 05:31:11 AM","2514 W HAMPTON AV,MKE","7","SHOTSPOTTER","Unable to Locate Complainant",NA
"8274",230800231,"03/21/2023 05:23:49 AM","HUMBOLDT/BRADY","1","PATROL","Assignment Completed",NA
"8275",230800213,"03/21/2023 04:51:28 AM","3626 W FOND DU LAC AV,MKE","7","ASSIGNMENT","Assignment Completed",NA
"8276",230800209,"03/21/2023 04:44:35 AM","2333 N 49TH ST,MKE","3","CONVEY PROPERTY","Assignment Completed",NA
"8277",230800243,"03/21/2023 05:43:51 AM","2920 N VEL R PHILLIPS AV,MKE","5","RETURN STATION","Assignment Completed",NA
"8278",230800242,"03/21/2023 05:41:11 AM","4131 S 3RD ST,MKE","6","ENTRY TO AUTO","Service in Progress",NA
"8279",230800240,"03/21/2023 05:40:14 AM","S 20TH ST / W NATIONAL AV,MKE","2","SUBJ WITH GUN","Unable to Locate Complainant",NA
"8280",230800241,"03/21/2023 05:39:41 AM","6680 N TEUTONIA AV,MKE","4","SPECIAL ASSIGN","Assignment Completed",NA
"8281",230800253,"03/21/2023 05:59:12 AM","4600 S 6TH ST,MKE","6","PATROL","Assignment Completed",NA
"8282",230800217,"03/21/2023 05:58:48 AM","3362 N 25TH ST,MKE","5","BATTERY DV","Service in Progress",NA
"8283",230800251,"03/21/2023 05:58:18 AM","245 W LINCOLN AV,MKE","2","CONVEY PROPERTY","Service in Progress",NA
"8284",230800250,"03/21/2023 05:57:59 AM","2953 N 27TH ST,MKE","5","SUBJ WITH WEAPON","Service in Progress",NA
"8285",230800249,"03/21/2023 05:56:24 AM","2446 N VEL R PHILLIPS AV,MKE","5","STOLEN VEHICLE","Service in Progress",NA
"8286",230800247,"03/21/2023 05:56:23 AM","1606 S 11TH ST,MKE","2","BATTERY DV","Service in Progress",NA
"8287",230800246,"03/21/2023 05:53:31 AM","8947 N 96TH ST,MKE","4","CALL FOR POLICE","Service in Progress",NA
"8288",230800248,"03/21/2023 05:52:27 AM","2920 N VEL R PHILLIPS AV,MKE","5","RETURN STATION","Assignment Completed",NA
"8289",230800245,"03/21/2023 05:50:35 AM","6680 N TEUTONIA AV,MKE","4","ASSIGNMENT","Service in Progress",NA
"8290",230800244,"03/21/2023 05:47:07 AM","2300 S 3RD ST,MKE","2","PARK AND WALK","Assignment Completed",NA
"8291",230800234,"03/21/2023 05:29:48 AM","6410 W SILVER SPRING DR,MKE","4","SHOPLIFTER","City Citation(s) Issued",NA
"8292",230800262,"03/21/2023 06:08:46 AM","N 2ND ST / W VINE ST,MKE","5","PARK AND WALK","Service in Progress",NA
"8293",230800261,"03/21/2023 06:08:27 AM","5476 S 13TH ST,MKE","6","BUSINESS CHECK","Service in Progress",NA
"8294",230800259,"03/21/2023 06:05:15 AM","3510 W LINCOLN AV,MKE","2","BUSINESS CHECK","Assignment Completed",NA
"8295",230800256,"03/21/2023 06:02:27 AM","435 S WATER ST,MKE","2","BUSINESS CHECK","Assignment Completed",NA
"8296",230800255,"03/21/2023 06:02:17 AM","3233 S 27TH ST,MKE","6","BUSINESS CHECK","Assignment Completed",NA
"8297",230800254,"03/21/2023 06:00:45 AM","3504 N 11TH ST,MKE","5","NOTIFICATION","Unable to Locate Complainant",NA
"8298",230800250,"03/21/2023 05:57:59 AM","2953 N 27TH ST,MKE","5","SUBJ WITH WEAPON","Unable to Locate Complainant",NA
"8299",230800266,"03/21/2023 06:18:08 AM","2930 N FARWELL AV,MKE","1","ENTRY","Service in Progress",NA
"8300",230800265,"03/21/2023 06:14:49 AM","805 E MASON ST,MKE","1","SPECIAL ASSIGN","Service in Progress",NA
"8301",230800271,"03/21/2023 06:28:44 AM","2169 N 45TH ST,MKE","3","BATTERY DV","Service in Progress",NA
"8302",230800270,"03/21/2023 06:25:31 AM","W APPLETON AV / W BURLEIGH ST,MKE","7","THEFT VEHICLE","Service in Progress",NA
"8303",230800267,"03/21/2023 06:22:11 AM","401 E WISCONSIN AVE","1","BUSINESS CHECK","Assignment Completed",NA
"8304",230800261,"03/21/2023 06:08:27 AM","5476 S 13TH ST,MKE","6","BUSINESS CHECK","Assignment Completed",NA
"8305",230800246,"03/21/2023 05:53:31 AM","8947 N 96TH ST,MKE","4","CALL FOR POLICE","Unable to Locate Complainant",NA
"8306",230800278,"03/21/2023 06:35:58 AM","2760 N 60TH ST,MKE","7","LOOSE ANIMAL","Service in Progress",NA
"8307",230800272,"03/21/2023 06:33:55 AM","555 S LAYTON BL,MKE","2","TRBL W/SUBJ","Advised",NA
"8308",230800274,"03/21/2023 06:32:47 AM","N 6TH ST / W HIGHLAND AV,MKE","1","PATROL","Assignment Completed",NA
"8309",230800263,"03/21/2023 06:30:27 AM","1212 W KEEFE AV,MKE","5","FAMILY TROUBLE","Advised",NA
"8310",230800266,"03/21/2023 06:18:08 AM","2930 N FARWELL AV,MKE","1","ENTRY","Advised/Referral",NA
"8311",230800242,"03/21/2023 05:41:11 AM","4131 S 3RD ST,MKE","6","ENTRY TO AUTO","To be Filed",NA
"8312",230800289,"03/21/2023 06:48:12 AM","6680 N TEUTONIA AV,MKE","4","ASSIGNMENT","Service in Progress",NA
